gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
579 1 0.19921875 205 1 0 0.0
580 1 0.19921875 205 1 0 0.0
580 0 9.19921875 205 10 9 1.0
581 1 0.19921875 205 1 0 0.0
582 1 0.19921875 205 1 0 0.0
583 1 0.19921875 205 1 0 0.0
584 1 0.19921875 205 1 0 0.0
585 1 0.19921875 205 1 0 0.0
585 0 9.19921875 205 10 9 1.0
586 1 0.19921875 205 1 0 0.0
587 1 0.19921875 205 1 0 0.0
588 1 0.19921875 205 1 0 0.0
589 1 0.19921875 205 1 0 0.0
590 1 0.19921875 205 1 0 0.0
591 1 0.19921875 205 1 0 0.0
592 0 9.19921875 205 10 9 1.0
592 1 0.19921875 205 1 0 0.0
593 1 0.19921875 205 1 0 0.0
594 1 0.19921875 205 1 0 0.0
594 0 9.19921875 205 10 9 1.0
595 1 0.19921875 205 1 0 0.0
596 1 0.19921875 205 1 0 0.0
596 0 9.19921875 205 10 9 1.0
597 1 0.19921875 205 1 0 0.0
598 1 0.19921875 205 1 0 0.0
599 1 0.19921875 205 1 0 0.0
600 1 0.19921875 205 1 0 0.0
600 0 9.19921875 205 10 9 1.0
601 1 0.19921875 205 1 0 0.0
602 0 9.19921875 205 10 9 1.0
602 1 0.19921875 205 1 0 0.0
603 1 0.19921875 205 1 0 0.0
604 1 0.19921875 205 1 0 0.0
604 0 9.19921875 205 10 9 1.0
605 1 0.19921875 205 1 0 0.0
605 0 9.19921875 205 10 9 1.0
606 1 0.19921875 205 1 0 0.0
606 0 9.19921875 205 10 9 1.0
607 1 0.19921875 205 1 0 0.0
608 1 0.19921875 205 1 0 0.0
609 1 0.19921875 205 1 0 0.0
609 0 9.19921875 205 10 9 1.0
610 1 0.19921875 205 1 0 0.0
611 1 0.19921875 205 1 0 0.0
611 0 9.19921875 205 10 9 1.0
612 1 0.19921875 205 1 0 0.0
612 0 9.19921875 205 10 9 1.0
613 1 0.19921875 205 1 0 0.0
614 1 0.19921875 205 1 0 0.0
615 0 9.19921875 205 10 9 1.0
615 1 0.19921875 205 1 0 0.0
616 1 0.19921875 205 1 0 0.0
616 0 9.19921875 205 10 9 1.0
617 1 0.19921875 205 1 0 0.0
617 0 9.19921875 205 10 9 1.0
618 1 0.19921875 205 1 0 0.0
618 0 9.19921875 205 10 9 1.0
619 1 0.19921875 205 1 0 0.0
620 1 0.19921875 205 1 0 0.0
621 1 0.19921875 205 1 0 0.0
622 1 0.19921875 205 1 0 0.0
623 1 0.19921875 205 1 0 0.0
624 1 0.19921875 205 1 0 0.0
624 0 9.19921875 205 10 9 1.0
625 1 0.19921875 205 1 0 0.0
626 1 0.19921875 205 1 0 0.0
627 1 0.19921875 205 1 0 0.0
627 0 9.19921875 205 10 9 1.0
628 1 0.19921875 205 1 0 0.0
628 0 9.19921875 205 10 9 1.0
629 1 0.19921875 205 1 0 0.0
630 1 0.19921875 205 1 0 0.0
630 0 9.19921875 205 10 9 1.0
631 1 0.19921875 205 1 0 0.0
632 1 0.19921875 205 1 0 0.0
633 1 0.19921875 205 1 0 0.0
634 0 9.19921875 205 10 9 1.0
634 1 0.19921875 205 1 0 0.0
635 1 0.19921875 205 1 0 0.0
635 0 9.19921875 205 10 9 1.0
636 1 0.19921875 205 1 0 0.0
636 0 9.19921875 205 10 9 1.0
637 1 0.19921875 205 1 0 0.0
637 0 9.19921875 205 10 9 1.0
638 1 0.19921875 205 1 0 0.0
639 1 0.19921875 205 1 0 0.0
640 1 0.19921875 205 1 0 0.0
641 1 0.19921875 205 1 0 0.0
642 1 0.19921875 205 1 0 0.0
643 1 0.19921875 205 1 0 0.0
643 0 9.19921875 205 10 9 1.0
644 1 0.19921875 205 1 0 0.0
645 1 0.19921875 205 1 0 0.0
646 0 9.19921875 205 10 9 1.0
646 1 0.19921875 205 1 0 0.0
647 1 0.19921875 205 1 0 0.0
648 1 0.19921875 205 1 0 0.0
649 1 0.19921875 205 1 0 0.0
650 1 0.19921875 205 1 0 0.0
650 0 9.19921875 205 10 9 1.0
651 1 0.19921875 205 1 0 0.0
651 0 9.19921875 205 10 9 1.0
652 1 0.19921875 205 1 0 0.0
653 1 0.19921875 205 1 0 0.0
654 1 0.19921875 205 1 0 0.0
654 0 9.19921875 205 10 9 1.0
655 1 0.19921875 205 1 0 0.0
655 0 9.19921875 205 10 9 1.0
656 1 0.19921875 205 1 0 0.0
656 0 9.19921875 205 10 9 1.0
657 1 0.19921875 205 1 0 0.0
658 1 0.19921875 205 1 0 0.0
659 1 0.19921875 205 1 0 0.0
660 1 0.19921875 205 1 0 0.0
661 1 0.19921875 205 1 0 0.0
662 1 0.19921875 205 1 0 0.0
663 1 0.19921875 205 1 0 0.0
663 0 9.19921875 205 10 9 1.0
664 1 0.19921875 205 1 0 0.0
665 1 0.19921875 205 1 0 0.0
665 0 9.19921875 205 10 9 1.0
666 1 0.19921875 205 1 0 0.0
667 1 0.19921875 205 1 0 0.0
668 1 0.19921875 205 1 0 0.0
669 1 0.19921875 205 1 0 0.0
670 0 9.19921875 205 10 9 1.0
670 1 0.19921875 205 1 0 0.0
671 0 9.19921875 205 10 9 1.0
671 1 0.19921875 205 1 0 0.0
672 1 0.19921875 205 1 0 0.0
673 1 0.19921875 205 1 0 0.0
673 0 9.19921875 205 10 9 1.0
674 1 0.19921875 205 1 0 0.0
675 1 0.19921875 205 1 0 0.0
676 1 0.19921875 205 1 0 0.0
676 0 9.19921875 205 10 9 1.0
677 0 9.19921875 205 10 9 1.0
677 1 0.19921875 205 1 0 0.0
678 1 0.19921875 205 1 0 0.0
679 1 0.19921875 205 1 0 0.0
679 0 9.19921875 205 10 9 1.0
680 1 0.19921875 205 1 0 0.0
681 1 0.19921875 205 1 0 0.0
681 0 9.19921875 205 10 9 1.0
682 1 0.19921875 205 1 0 0.0
683 1 0.19921875 205 1 0 0.0
684 1 0.19921875 205 1 0 0.0
685 1 0.19921875 205 1 0 0.0
685 0 9.19921875 205 10 9 1.0
686 1 0.19921875 205 1 0 0.0
687 1 0.19921875 205 1 0 0.0
688 1 0.19921875 205 1 0 0.0
689 1 0.19921875 205 1 0 0.0
690 1 0.19921875 205 1 0 0.0
691 1 0.19921875 205 1 0 0.0
692 1 0.19921875 205 1 0 0.0
693 1 0.19921875 205 1 0 0.0
693 0 9.19921875 205 10 9 1.0
694 1 0.19921875 205 1 0 0.0
694 0 9.19921875 205 10 9 1.0
695 1 0.19921875 205 1 0 0.0
696 1 0.19921875 205 1 0 0.0
696 0 9.19921875 205 10 9 1.0
697 1 0.19921875 205 1 0 0.0
698 1 0.19921875 205 1 0 0.0
699 1 0.19921875 205 1 0 0.0
700 1 0.19921875 205 1 0 0.0
700 0 9.19921875 205 10 9 1.0
701 1 0.19921875 205 1 0 0.0
702 1 0.19921875 205 1 0 0.0
702 0 9.19921875 205 10 9 1.0
703 1 0.19921875 205 1 0 0.0
704 1 0.19921875 205 1 0 0.0
705 1 0.19921875 205 1 0 0.0
705 0 9.19921875 205 10 9 1.0
706 1 0.19921875 205 1 0 0.0
707 1 0.19921875 205 1 0 0.0
708 1 0.19921875 205 1 0 0.0
708 0 9.19921875 205 10 9 1.0
709 1 0.19921875 205 1 0 0.0
710 1 0.19921875 205 1 0 0.0
710 0 9.19921875 205 10 9 1.0
711 1 0.19921875 205 1 0 0.0
712 1 0.19921875 205 1 0 0.0
713 1 0.19921875 205 1 0 0.0
713 0 9.19921875 205 10 9 1.0
714 1 0.19921875 205 1 0 0.0
715 1 0.19921875 205 1 0 0.0
716 1 0.19921875 205 1 0 0.0
717 1 0.19921875 205 1 0 0.0
718 1 0.19921875 205 1 0 0.0
719 1 0.19921875 205 1 0 0.0
720 1 0.19921875 205 1 0 0.0
720 0 9.19921875 205 10 9 1.0
721 1 0.19921875 205 1 0 0.0
722 1 0.19921875 205 1 0 0.0
723 1 0.19921875 205 1 0 0.0
723 0 9.19921875 205 10 9 1.0
724 1 0.19921875 205 1 0 0.0
725 1 0.19921875 205 1 0 0.0
725 0 9.19921875 205 10 9 1.0
726 1 0.19921875 205 1 0 0.0
727 1 0.19921875 205 1 0 0.0
728 1 0.19921875 205 1 0 0.0
728 0 9.19921875 205 10 9 1.0
729 1 0.19921875 205 1 0 0.0
729 0 9.19921875 205 10 9 1.0
730 1 0.19921875 205 1 0 0.0
731 1 0.19921875 205 1 0 0.0
731 0 9.19921875 205 10 9 1.0
732 1 0.19921875 205 1 0 0.0
733 1 0.19921875 205 1 0 0.0
734 1 0.19921875 205 1 0 0.0
735 1 0.19921875 205 1 0 0.0
736 0 9.19921875 205 10 9 1.0
736 1 0.19921875 205 1 0 0.0
737 1 0.19921875 205 1 0 0.0
738 1 0.19921875 205 1 0 0.0
738 0 9.19921875 205 10 9 1.0
739 1 0.19921875 205 1 0 0.0
739 0 9.19921875 205 10 9 1.0
740 1 0.19921875 205 1 0 0.0
740 0 9.19921875 205 10 9 1.0
741 1 0.19921875 205 1 0 0.0
742 1 0.19921875 205 1 0 0.0
742 0 9.19921875 205 10 9 1.0
743 1 0.19921875 205 1 0 0.0
744 1 0.19921875 205 1 0 0.0
744 0 9.19921875 205 10 9 1.0
745 1 0.19921875 205 1 0 0.0
746 1 0.19921875 205 1 0 0.0
746 0 9.19921875 205 10 9 1.0
747 1 0.19921875 205 1 0 0.0
748 1 0.19921875 205 1 0 0.0
749 1 0.19921875 205 1 0 0.0
750 1 0.19921875 205 1 0 0.0
750 0 9.19921875 205 10 9 1.0
751 1 0.19921875 205 1 0 0.0
752 1 0.19921875 205 1 0 0.0
752 0 9.19921875 205 10 9 1.0
753 1 0.1953125 206 1 0 0.0
754 0 9.1953125 206 10 9 1.0
755 1 0.1953125 206 1 0 0.0
756 1 0.1953125 206 1 0 0.0
757 1 0.1953125 206 1 0 0.0
757 0 9.1953125 206 10 9 1.0
758 0 9.1953125 206 10 9 1.0
758 1 0.1953125 206 1 0 0.0
759 1 0.1953125 206 1 0 0.0
759 0 9.1953125 206 10 9 1.0
760 1 0.1953125 206 1 0 0.0
760 0 9.1953125 206 10 9 1.0
761 1 0.1953125 206 1 0 0.0
761 0 9.1953125 206 10 9 1.0
762 1 0.1953125 206 1 0 0.0
762 0 9.1953125 206 10 9 1.0
763 1 0.1953125 206 1 0 0.0
764 1 0.1953125 206 1 0 0.0
764 0 9.1953125 206 10 9 1.0
765 1 0.1953125 206 1 0 0.0
765 0 9.1953125 206 10 9 1.0
766 1 0.1953125 206 1 0 0.0
766 0 9.1953125 206 10 9 1.0
767 1 0.1953125 206 1 0 0.0
768 1 0.1953125 206 1 0 0.0
769 1 0.1953125 206 1 0 0.0
770 1 0.1953125 206 1 0 0.0
770 0 9.1953125 206 10 9 1.0
771 1 0.1953125 206 1 0 0.0
771 0 9.1953125 206 10 9 1.0
772 1 0.1953125 206 1 0 0.0
773 1 0.1953125 206 1 0 0.0
774 1 0.1953125 206 1 0 0.0
775 1 0.1953125 206 1 0 0.0
775 0 9.1953125 206 10 9 1.0
776 1 0.1953125 206 1 0 0.0
777 1 0.1953125 206 1 0 0.0
777 0 9.1953125 206 10 9 1.0
778 1 0.1953125 206 1 0 0.0
779 1 0.1953125 206 1 0 0.0
779 0 9.1953125 206 10 9 1.0
780 1 0.1953125 206 1 0 0.0
780 0 9.1953125 206 10 9 1.0
781 1 0.1953125 206 1 0 0.0
782 1 0.1953125 206 1 0 0.0
782 0 9.1953125 206 10 9 1.0
783 1 0.1953125 206 1 0 0.0
784 1 0.1953125 206 1 0 0.0
785 1 0.1953125 206 1 0 0.0
786 1 0.1953125 206 1 0 0.0
787 1 0.1953125 206 1 0 0.0
788 1 0.1953125 206 1 0 0.0
789 1 0.1953125 206 1 0 0.0
789 0 9.1953125 206 10 9 1.0
790 1 0.1953125 206 1 0 0.0
791 1 0.1953125 206 1 0 0.0
791 0 9.1953125 206 10 9 1.0
792 1 0.1953125 206 1 0 0.0
792 0 9.1953125 206 10 9 1.0
793 1 0.1953125 206 1 0 0.0
794 1 0.1953125 206 1 0 0.0
795 1 0.1953125 206 1 0 0.0
796 1 0.1953125 206 1 0 0.0
797 1 0.1953125 206 1 0 0.0
797 0 9.1953125 206 10 9 1.0
798 1 0.1953125 206 1 0 0.0
798 0 9.1953125 206 10 9 1.0
799 1 0.1953125 206 1 0 0.0
800 1 0.1953125 206 1 0 0.0
801 1 0.1953125 206 1 0 0.0
801 0 9.1953125 206 10 9 1.0
802 1 0.1953125 206 1 0 0.0
803 1 0.1953125 206 1 0 0.0
804 0 9.1953125 206 10 9 1.0
804 1 0.1953125 206 1 0 0.0
805 1 0.1953125 206 1 0 0.0
805 0 9.1953125 206 10 9 1.0
806 1 0.1953125 206 1 0 0.0
806 0 9.1953125 206 10 9 1.0
807 1 0.1953125 206 1 0 0.0
807 0 9.1953125 206 10 9 1.0
808 1 0.1953125 206 1 0 0.0
809 0 9.1953125 206 10 9 1.0
809 1 0.1953125 206 1 0 0.0
810 1 0.1953125 206 1 0 0.0
811 1 0.1953125 206 1 0 0.0
812 1 0.1953125 206 1 0 0.0
813 1 0.1953125 206 1 0 0.0
814 1 0.1953125 206 1 0 0.0
814 0 9.1953125 206 10 9 1.0
815 1 0.1953125 206 1 0 0.0
816 1 0.1953125 206 1 0 0.0
816 0 9.1953125 206 10 9 1.0
817 1 0.1953125 206 1 0 0.0
817 0 9.1953125 206 10 9 1.0
818 1 0.1953125 206 1 0 0.0
819 1 0.1953125 206 1 0 0.0
819 0 9.1953125 206 10 9 1.0
820 1 0.1953125 206 1 0 0.0
821 1 0.1953125 206 1 0 0.0
822 1 0.1953125 206 1 0 0.0
823 1 0.1953125 206 1 0 0.0
823 0 9.1953125 206 10 9 1.0
824 1 0.1953125 206 1 0 0.0
825 0 9.1953125 206 10 9 1.0
825 1 0.1953125 206 1 0 0.0
826 1 0.1953125 206 1 0 0.0
827 1 0.1953125 206 1 0 0.0
828 1 0.1953125 206 1 0 0.0
829 1 0.1953125 206 1 0 0.0
829 0 9.1953125 206 10 9 1.0
830 1 0.1953125 206 1 0 0.0
830 0 9.1953125 206 10 9 1.0
831 1 0.1953125 206 1 0 0.0
832 1 0.1953125 206 1 0 0.0
833 1 0.1953125 206 1 0 0.0
834 1 0.1953125 206 1 0 0.0
835 1 0.1953125 206 1 0 0.0
836 1 0.1953125 206 1 0 0.0
837 1 0.1953125 206 1 0 0.0
837 0 9.1953125 206 10 9 1.0
838 1 0.1953125 206 1 0 0.0
838 0 9.1953125 206 10 9 1.0
839 1 0.1953125 206 1 0 0.0
840 1 0.1953125 206 1 0 0.0
840 0 9.1953125 206 10 9 1.0
841 1 0.1953125 206 1 0 0.0
842 1 0.1953125 206 1 0 0.0
843 1 0.1953125 206 1 0 0.0
843 0 9.1953125 206 10 9 1.0
844 1 0.1953125 206 1 0 0.0
844 0 9.1953125 206 10 9 1.0
845 1 0.1953125 206 1 0 0.0
846 1 0.1953125 206 1 0 0.0
846 0 9.1953125 206 10 9 1.0
847 1 0.1953125 206 1 0 0.0
847 0 9.1953125 206 10 9 1.0
848 1 0.1953125 206 1 0 0.0
848 0 9.1953125 206 10 9 1.0
849 1 0.1953125 206 1 0 0.0
849 0 9.1953125 206 10 9 1.0
850 0 9.1953125 206 10 9 1.0
850 1 0.1953125 206 1 0 0.0
851 1 0.1953125 206 1 0 0.0
851 0 9.1953125 206 10 9 1.0
852 1 0.1953125 206 1 0 0.0
853 1 0.1953125 206 1 0 0.0
854 1 0.1953125 206 1 0 0.0
854 0 9.1953125 206 10 9 1.0
855 1 0.1953125 206 1 0 0.0
856 1 0.1953125 206 1 0 0.0
856 0 9.1953125 206 10 9 1.0
857 1 0.1953125 206 1 0 0.0
858 1 0.1953125 206 1 0 0.0
859 1 0.1953125 206 1 0 0.0
860 1 0.1953125 206 1 0 0.0
860 0 9.1953125 206 10 9 1.0
861 1 0.1953125 206 1 0 0.0
862 1 0.1953125 206 1 0 0.0
863 1 0.1953125 206 1 0 0.0
864 1 0.1953125 206 1 0 0.0
864 0 9.1953125 206 10 9 1.0
865 1 0.1953125 206 1 0 0.0
865 0 9.1953125 206 10 9 1.0
866 1 0.1953125 206 1 0 0.0
867 1 0.1953125 206 1 0 0.0
867 0 9.1953125 206 10 9 1.0
868 1 0.1953125 206 1 0 0.0
868 0 9.1953125 206 10 9 1.0
869 1 0.1953125 206 1 0 0.0
869 0 9.1953125 206 10 9 1.0
870 1 0.1953125 206 1 0 0.0
870 0 9.1953125 206 10 9 1.0
871 1 0.1953125 206 1 0 0.0
871 0 9.1953125 206 10 9 1.0
872 1 0.1953125 206 1 0 0.0
872 0 9.1953125 206 10 9 1.0
873 1 0.1953125 206 1 0 0.0
873 0 9.1953125 206 10 9 1.0
874 1 0.1953125 206 1 0 0.0
875 1 0.1953125 206 1 0 0.0
876 1 0.1953125 206 1 0 0.0
876 0 9.1953125 206 10 9 1.0
877 1 0.1953125 206 1 0 0.0
877 0 9.1953125 206 10 9 1.0
878 1 0.1953125 206 1 0 0.0
879 1 0.1953125 206 1 0 0.0
880 1 0.1953125 206 1 0 0.0
881 1 0.1953125 206 1 0 0.0
882 1 0.1953125 206 1 0 0.0
883 1 0.1953125 206 1 0 0.0
884 1 0.1953125 206 1 0 0.0
885 1 0.1953125 206 1 0 0.0
886 1 0.1953125 206 1 0 0.0
887 1 0.1953125 206 1 0 0.0
888 1 0.1953125 206 1 0 0.0
888 0 9.1953125 206 10 9 1.0
889 1 0.1953125 206 1 0 0.0
890 1 0.1953125 206 1 0 0.0
891 1 0.1953125 206 1 0 0.0
892 1 0.1953125 206 1 0 0.0
892 0 9.1953125 206 10 9 1.0
893 1 0.1953125 206 1 0 0.0
894 1 0.1953125 206 1 0 0.0
895 1 0.1953125 206 1 0 0.0
895 0 9.1953125 206 10 9 1.0
896 1 0.1953125 206 1 0 0.0
896 0 9.1953125 206 10 9 1.0
897 1 0.1953125 206 1 0 0.0
898 1 0.1953125 206 1 0 0.0
898 0 9.1953125 206 10 9 1.0
899 1 0.1953125 206 1 0 0.0
899 0 9.1953125 206 10 9 1.0
900 1 0.1953125 206 1 0 0.0
901 1 0.1953125 206 1 0 0.0
901 0 9.1953125 206 10 9 1.0
902 1 0.1953125 206 1 0 0.0
902 0 9.1953125 206 10 9 1.0
903 1 0.1953125 206 1 0 0.0
904 1 0.1953125 206 1 0 0.0
904 0 9.1953125 206 10 9 1.0
905 1 0.1953125 206 1 0 0.0
906 1 0.1953125 206 1 0 0.0
906 0 9.1953125 206 10 9 1.0
907 1 0.1953125 206 1 0 0.0
907 0 9.1953125 206 10 9 1.0
908 1 0.1953125 206 1 0 0.0
909 1 0.1953125 206 1 0 0.0
909 0 9.1953125 206 10 9 1.0
910 1 0.1953125 206 1 0 0.0
911 1 0.1953125 206 1 0 0.0
912 1 0.1953125 206 1 0 0.0
913 1 0.1953125 206 1 0 0.0
914 1 0.1953125 206 1 0 0.0
914 0 9.1953125 206 10 9 1.0
915 1 0.1953125 206 1 0 0.0
916 1 0.1953125 206 1 0 0.0
917 1 0.1953125 206 1 0 0.0
918 1 0.1953125 206 1 0 0.0
918 0 9.1953125 206 10 9 1.0
919 1 0.1953125 206 1 0 0.0
920 1 0.1953125 206 1 0 0.0
920 0 9.1953125 206 10 9 1.0
921 1 0.1953125 206 1 0 0.0
922 1 0.1953125 206 1 0 0.0
923 1 0.1953125 206 1 0 0.0
924 1 0.1953125 206 1 0 0.0
925 1 0.1953125 206 1 0 0.0
926 1 0.1953125 206 1 0 0.0
927 1 0.1953125 206 1 0 0.0
928 1 0.1953125 206 1 0 0.0
928 0 9.1953125 206 10 9 1.0
929 1 0.1953125 206 1 0 0.0
930 1 0.1953125 206 1 0 0.0
930 0 9.1953125 206 10 9 1.0
931 1 0.1953125 206 1 0 0.0
931 0 9.1953125 206 10 9 1.0
932 1 0.1953125 206 1 0 0.0
932 0 9.1953125 206 10 9 1.0
933 0 9.1953125 206 10 9 1.0
933 1 0.1953125 206 1 0 0.0
934 1 0.1953125 206 1 0 0.0
934 0 9.1953125 206 10 9 1.0
935 1 0.1953125 206 1 0 0.0
936 1 0.1953125 206 1 0 0.0
937 0 9.1953125 206 10 9 1.0
937 1 0.1953125 206 1 0 0.0
938 1 0.1953125 206 1 0 0.0
939 0 9.1953125 206 10 9 1.0
939 1 0.1953125 206 1 0 0.0
940 1 0.1953125 206 1 0 0.0
940 0 9.1953125 206 10 9 1.0
941 0 9.1953125 206 10 9 1.0
941 1 0.1953125 206 1 0 0.0
942 1 0.1953125 206 1 0 0.0
942 0 9.1953125 206 10 9 1.0
943 1 0.1953125 206 1 0 0.0
944 1 0.1953125 206 1 0 0.0
944 0 9.1953125 206 10 9 1.0
945 1 0.1953125 206 1 0 0.0
946 1 0.1953125 206 1 0 0.0
947 1 0.1953125 206 1 0 0.0
948 1 0.1953125 206 1 0 0.0
949 1 0.1953125 206 1 0 0.0
950 1 0.1953125 206 1 0 0.0
950 0 9.1953125 206 10 9 1.0
951 1 0.1953125 206 1 0 0.0
951 0 9.1953125 206 10 9 1.0
952 1 0.1953125 206 1 0 0.0
953 1 0.1953125 206 1 0 0.0
954 1 0.1953125 206 1 0 0.0
955 1 0.1953125 206 1 0 0.0
956 1 0.1953125 206 1 0 0.0
956 0 9.1953125 206 10 9 1.0
957 1 0.1953125 206 1 0 0.0
958 1 0.1953125 206 1 0 0.0
959 1 0.1953125 206 1 0 0.0
960 1 0.1953125 206 1 0 0.0
960 0 9.1953125 206 10 9 1.0
961 1 0.1953125 206 1 0 0.0
962 1 0.1953125 206 1 0 0.0
963 1 0.1953125 206 1 0 0.0
963 0 9.1953125 206 10 9 1.0
964 0 9.1953125 206 10 9 1.0
964 1 0.1953125 206 1 0 0.0
965 1 0.1953125 206 1 0 0.0
966 1 0.1953125 206 1 0 0.0
967 1 0.1953125 206 1 0 0.0
967 0 9.1953125 206 10 9 1.0
968 1 0.1953125 206 1 0 0.0
968 0 9.1953125 206 10 9 1.0
969 1 0.1953125 206 1 0 0.0
970 1 0.1953125 206 1 0 0.0
971 1 0.1953125 206 1 0 0.0
972 1 0.1953125 206 1 0 0.0
973 1 0.1953125 206 1 0 0.0
974 1 0.1953125 206 1 0 0.0
975 1 0.1953125 206 1 0 0.0
976 0 9.1953125 206 10 9 1.0
976 1 0.1953125 206 1 0 0.0
977 1 0.1953125 206 1 0 0.0
978 1 0.1953125 206 1 0 0.0
979 1 0.1953125 206 1 0 0.0
980 1 0.1953125 206 1 0 0.0
980 0 9.1953125 206 10 9 1.0
981 0 9.1953125 206 10 9 1.0
981 1 0.1953125 206 1 0 0.0
982 1 0.1953125 206 1 0 0.0
983 1 0.1953125 206 1 0 0.0
983 0 9.1953125 206 10 9 1.0
984 1 0.1953125 206 1 0 0.0
984 0 9.1953125 206 10 9 1.0
985 1 0.1953125 206 1 0 0.0
986 1 0.1953125 206 1 0 0.0
987 1 0.1953125 206 1 0 0.0
988 1 0.1953125 206 1 0 0.0
989 1 0.1953125 206 1 0 0.0
989 0 9.1953125 206 10 9 1.0
990 1 0.1953125 206 1 0 0.0
991 1 0.1953125 206 1 0 0.0
992 1 0.1953125 206 1 0 0.0
993 1 0.1953125 206 1 0 0.0
994 1 0.1953125 206 1 0 0.0
994 0 9.1953125 206 10 9 1.0
995 1 0.1953125 206 1 0 0.0
996 1 0.1953125 206 1 0 0.0
997 1 0.1953125 206 1 0 0.0
998 1 0.1953125 206 1 0 0.0
998 0 9.1953125 206 10 9 1.0
999 1 0.1953125 206 1 0 0.0
1000 1 0.1953125 206 1 0 0.0
1000 0 9.1953125 206 10 9 1.0
